きゃべつ
はくさい
ほうれん草
長ねぎ
レタス
セロリ
ブロッコリー
カリフラワー
アスパラガス
小松菜
水菜
にら
にんにく
なす
とまと
きゅうり
かぼちゃ
ピーマン
とうもろこし
だいこん
かぶ
れんこん
にんじん
じゃがいも
たまねぎ
さといも
ごぼう
やまいも
しょうが
